date,nav,running_max,drawdown
2013-11-18,13.0894,13.0894,0.0
2013-11-19,13.1068,13.1068,0.0
2013-11-20,12.9549,13.1068,-0.011589403973509937
2013-11-21,12.7957,13.1068,-0.023735770744956808
2013-11-22,12.7775,13.1068,-0.02512436292611464
2013-11-25,12.8548,13.1068,-0.01922666096987824
2013-11-26,12.8591,13.1068,-0.01889858699301128
2013-11-27,12.8389,13.1068,-0.020439771721549094
2013-11-28,12.8773,13.1068,-0.017509994811853336
2013-11-29,12.9509,13.1068,-0.01189458906826979
2013-12-02,13.0012,13.1068,-0.00805688650166314
2013-12-03,13.0048,13.1068,-0.007782219916379285
2013-12-04,12.9799,13.1068,-0.009681997131260056
2013-12-05,13.0319,13.1068,-0.005714590899380423
2013-12-06,13.0439,13.1068,-0.004799035615100533
2013-12-09,13.0282,13.1068,-0.005996887112033389
2013-12-10,13.0325,13.1068,-0.005668813135166428
2013-12-11,13.0129,13.1068,-0.007164220099490359
2013-12-12,13.0021,13.1068,-0.00798821985534226
2013-12-13,12.9891,13.1068,-0.00898007141331214
2013-12-16,13.0345,13.1068,-0.005516220587786558
2013-12-17,12.9569,13.1068,-0.011436811426129956
2013-12-18,13.0672,13.1068,-0.003021332438123747
2013-12-19,13.1392,13.1392,0.0
2013-12-20,13.1776,13.1776,0.0
2013-12-23,13.1886,13.1886,0.0
2013-12-24,13.2683,13.2683,0.0
2013-12-26,13.4811,13.4811,0.0
2013-12-27,13.5024,13.5024,0.0
2013-12-30,13.5862,13.5862,0.0
2013-12-31,13.7277,13.7277,0.0
2014-01-01,13.7418,13.7418,0.0
2014-01-02,13.7553,13.7553,0.0
2014-01-03,13.8494,13.8494,0.0
2014-01-06,13.8568,13.8568,0.0
2014-01-07,13.9214,13.9214,0.0
2014-01-08,14.0081,14.0081,0.0
2014-01-09,13.8644,14.0081,-0.01025835052576729
2014-01-10,13.8143,14.0081,-0.013834852692370947
2014-01-13,13.7909,14.0081,-0.015505314782161772
2014-01-14,13.8249,14.0081,-0.013078147643149407
2014-01-15,14.0209,14.0209,0.0
2014-01-16,14.0042,14.0209,-0.0011910790320164288
2014-01-17,13.7841,14.0209,-0.016889072741407385
2014-01-20,13.8144,14.0209,-0.014728013180323685
2014-01-21,13.8659,14.0209,-0.011054925147458428
2014-01-22,13.9302,14.0209,-0.006468914263706327
2014-01-23,13.9537,14.0209,-0.004792844967156151
2014-01-24,13.8688,14.0209,-0.010848091064054266
2014-01-27,13.6829,14.0209,-0.024106869031231937
2014-01-28,13.5678,14.0209,-0.03231604247944131
2014-01-29,13.4977,14.0209,-0.03731572153000162
2014-01-30,13.4661,14.0209,-0.03956949981812852
2014-01-31,13.6059,14.0209,-0.029598670556098328
2014-02-03,13.4995,14.0209,-0.03718734175409566
2014-02-04,13.4717,14.0209,-0.03917009607086552
2014-02-05,13.5431,14.0209,-0.034077698293262126
2014-02-06,13.5883,14.0209,-0.03085393947606785
2014-02-07,13.5552,14.0209,-0.03321470091078316
2014-02-10,13.7402,14.0209,-0.02002011283155858
2014-02-11,13.6983,14.0209,-0.023008508726258592
2014-02-12,13.6874,14.0209,-0.02378591959146692
2014-02-13,13.678,14.0209,-0.024456347310086946
2014-02-14,13.5948,14.0209,-0.030390345840851873
2014-02-17,13.6423,14.0209,-0.027002546198888755
2014-02-18,13.6801,14.0209,-0.024306570904863434
2014-02-19,13.801,14.0209,-0.01568372928984585
2014-02-20,13.8913,14.0209,-0.009243343865229736
2014-02-21,14.037,14.037,0.0
2014-02-24,14.1905,14.1905,0.0
2014-02-25,14.2704,14.2704,0.0
2014-02-26,14.1733,14.2704,-0.00680429420338613
2014-02-28,14.2102,14.2704,-0.004218522255858281
2014-03-03,14.2753,14.2753,0.0
2014-03-04,14.4166,14.4166,0.0
2014-03-05,14.5448,14.5448,0.0
2014-03-06,14.6678,14.6678,0.0
2014-03-07,14.5275,14.6678,-0.009565169964139142
2014-03-10,14.5576,14.6678,-0.00751305580932371
2014-03-11,14.6449,14.6678,-0.0015612429948594908
2014-03-12,14.7175,14.7175,0.0
2014-03-13,14.7121,14.7175,-0.00036691014098866326
2014-03-14,14.6527,14.7175,-0.004402921691863404
2014-03-18,14.7961,14.7961,0.0
2014-03-19,14.7118,14.7961,-0.005697447300302083
2014-03-20,14.8045,14.8045,0.0
2014-03-21,14.9389,14.9389,0.0
2014-03-24,14.9833,14.9833,0.0
2014-03-25,15.017,15.017,0.0
2014-03-26,15.0172,15.0172,0.0
2014-03-27,15.016,15.0172,-7.99083717337723e-05
2014-03-28,15.1698,15.1698,0.0
2014-03-31,15.2761,15.2761,0.0
2014-04-01,15.3236,15.3236,0.0
2014-04-02,15.5261,15.5261,0.0
2014-04-03,15.5016,15.5261,-0.0015779880330539786
2014-04-04,15.6554,15.6554,0.0
2014-04-07,15.7238,15.7238,0.0
2014-04-09,15.7721,15.7721,0.0
2014-04-10,15.7832,15.7832,0.0
2014-04-11,15.8805,15.8805,0.0
2014-04-15,15.959,15.959,0.0
2014-04-16,15.8341,15.959,-0.007826304906322412
2014-04-17,15.9681,15.9681,0.0
2014-04-21,16.061,16.061,0.0
2014-04-22,16.1917,16.1917,0.0
2014-04-23,16.2362,16.2362,0.0
2014-04-25,16.2714,16.2714,0.0
2014-04-28,16.3857,16.3857,0.0
2014-04-29,16.4239,16.4239,0.0
2014-04-30,16.194,16.4239,-0.013997893314011911
2014-05-02,16.1784,16.4239,-0.01494772861500615
2014-05-05,16.1466,16.4239,-0.01688393134395605
2014-05-06,16.2026,16.4239,-0.01347426616089964
2014-05-07,16.2031,16.4239,-0.013443822721765253
2014-05-08,16.2601,16.4239,-0.009973270660439848
2014-05-09,16.2665,16.4239,-0.009583594639519188
2014-05-12,16.236,16.4239,-0.011440644426719548
2014-05-13,16.318,16.4239,-0.006447920408672592
2014-05-14,16.3868,16.4239,-0.002258903183774752
2014-05-15,16.2742,16.4239,-0.00911476567684899
2014-05-16,16.3354,16.4239,-0.005388488726794427
2014-05-19,16.6375,16.6375,0.0
2014-05-20,17.0756,17.0756,0.0
2014-05-21,17.3618,17.3618,0.0
2014-05-22,17.6336,17.6336,0.0
2014-05-23,17.5799,17.6336,-0.003045322566010533
2014-05-26,17.2722,17.6336,-0.020494964159332163
2014-05-27,17.4244,17.6336,-0.011863714726431551
2014-05-28,17.7014,17.7014,0.0
2014-05-29,17.6411,17.7014,-0.003406510219530534
2014-05-30,17.5999,17.7014,-0.0057340097393425715
2014-06-02,17.7284,17.7284,0.0
2014-06-03,17.7281,17.7284,-1.692200085734452e-05
2014-06-04,18.0406,18.0406,0.0
2014-06-05,18.2638,18.2638,0.0
2014-06-06,18.5395,18.5395,0.0
2014-06-09,18.8095,18.8095,0.0
2014-06-10,18.9611,18.9611,0.0
2014-06-11,18.7536,18.9611,-0.010943457921745003
2014-06-12,18.9265,18.9611,-0.0018247886462281482
2014-06-13,18.7545,18.9611,-0.010895992321120485
2014-06-16,18.7174,18.9611,-0.012852629857972198
2014-06-17,19.0015,19.0015,0.0
2014-06-18,19.2167,19.2167,0.0
2014-06-19,19.1541,19.2167,-0.00325758324790415
2014-06-20,19.1702,19.2167,-0.0024197703039542384
2014-06-23,19.1147,19.2167,-0.005307883247383849
2014-06-24,19.1991,19.2167,-0.0009158700505288442
2014-06-25,19.3056,19.3056,0.0
2014-06-26,19.5189,19.5189,0.0
2014-06-27,19.669,19.669,0.0
2014-06-30,20.0705,20.0705,0.0
2014-07-01,20.2237,20.2237,0.0
2014-07-02,20.3994,20.3994,0.0
2014-07-03,20.539,20.539,0.0
2014-07-04,20.7887,20.7887,0.0
2014-07-07,20.9874,20.9874,0.0
2014-07-08,20.4515,20.9874,-0.025534368239991667
2014-07-09,20.1567,20.9874,-0.03958089139197807
2014-07-10,20.1881,20.9874,-0.038084755615274024
2014-07-11,19.8392,20.9874,-0.05470901588572186
2014-07-14,19.7798,20.9874,-0.057539285476047475
2014-07-15,19.9854,20.9874,-0.04774293147316977
2014-07-16,20.4248,20.9874,-0.026806560126552137
2014-07-17,20.8995,20.9874,-0.004188227222047591
2014-07-18,20.8316,20.9874,-0.007423501720079662
2014-07-21,21.28,21.28,0.0
2014-07-22,21.363,21.363,0.0
2014-07-23,21.24,21.363,-0.005757618312034918
2014-07-24,21.3216,21.363,-0.0019379300660019583
2014-07-25,21.1489,21.363,-0.010022000655338648
2014-07-28,21.1246,21.363,-0.011159481346252775
2014-07-30,21.0491,21.363,-0.014693629171932843
2014-07-31,21.0652,21.363,-0.013939989701820865
2014-08-01,20.8274,21.363,-0.025071385105088217
2014-08-04,21.1423,21.363,-0.010330946028179633
2014-08-05,21.1792,21.363,-0.008603660534569069
2014-08-06,21.2068,21.363,-0.007311707157234393
2014-08-07,21.1366,21.363,-0.010597762486542095
2014-08-08,20.9051,21.363,-0.02143425548846134
2014-08-11,21.0294,21.363,-0.015615784299957913
2014-08-12,20.9523,21.363,-0.019224827973599146
2014-08-13,20.4227,21.363,-0.044015353648832134
2014-08-14,20.6268,21.363,-0.03446145204325235
2014-08-18,20.9437,21.363,-0.019627393156391837
2014-08-19,21.1964,21.363,-0.007798530168983686
2014-08-20,21.5099,21.5099,0.0
2014-08-21,21.8125,21.8125,0.0
2014-08-22,21.898,21.898,0.0
2014-08-25,21.7299,21.898,-0.007676500136998721
2014-08-26,21.6681,21.898,-0.01049867567814411
2014-08-27,22.0752,22.0752,0.0
2014-08-28,22.1709,22.1709,0.0
2014-09-01,22.5292,22.5292,0.0
2014-09-02,22.6476,22.6476,0.0
2014-09-03,22.842,22.842,0.0
2014-09-04,22.8661,22.8661,0.0
2014-09-05,22.9624,22.9624,0.0
2014-09-08,23.31,23.31,0.0
2014-09-09,23.6853,23.6853,0.0
2014-09-10,23.8862,23.8862,0.0
2014-09-11,24.41,24.41,0.0
2014-09-12,24.6248,24.6248,0.0
2014-09-15,24.7489,24.7489,0.0
2014-09-16,24.0716,24.7489,-0.027366872871117498
2014-09-17,24.2051,24.7489,-0.021972693735883064
2014-09-18,24.5974,24.7489,-0.006121484187175952
2014-09-19,24.6537,24.7489,-0.003846635608047211
2014-09-22,24.9688,24.9688,0.0
2014-09-23,24.5235,24.9688,-0.01783425715292697
2014-09-24,24.1531,24.9688,-0.03266877062574103
2014-09-25,23.6113,24.9688,-0.05436785107814557
2014-09-26,23.6912,24.9688,-0.05116785748614283
2014-09-29,23.9932,24.9688,-0.03907276280798433
2014-09-30,24.2982,24.9688,-0.026857518182691997
2014-10-01,24.1597,24.9688,-0.03240444074204607
2014-10-07,23.9234,24.9688,-0.04186825157796936
2014-10-08,24.0609,24.9688,-0.036361379000993344
2014-10-09,24.0814,24.9688,-0.03554035436224423
2014-10-10,23.7407,24.9688,-0.04918538335843137
2014-10-13,23.8232,24.9688,-0.04588125981224578
2014-10-14,23.7147,24.9688,-0.050226682900259556
2014-10-16,23.2763,24.9688,-0.0677845951747782
2014-10-17,23.3519,24.9688,-0.06475681650700083
2014-10-20,23.3913,24.9688,-0.06317884720130729
2014-10-21,23.54,24.9688,-0.05722341482169757
2014-10-22,23.8185,24.9688,-0.046069494729422344
2014-10-27,23.9115,24.9688,-0.04234484636826763
2014-10-28,24.0775,24.9688,-0.0356965492935184
2014-10-29,24.2092,24.9688,-0.030421966614334828
2014-10-30,24.2267,24.9688,-0.029721091922719545
2014-10-31,24.3031,24.9688,-0.026661273269039776
2014-11-03,24.5647,24.9688,-0.016184197878953088
2014-11-05,24.6593,24.9688,-0.012395469545993354
2014-11-07,24.567,24.9688,-0.016092082919483608
2014-11-10,24.7095,24.9688,-0.01038496043061754
2014-11-11,24.92,24.9688,-0.001954439140046782
2014-11-12,25.2255,25.2255,0.0
2014-11-13,25.3732,25.3732,0.0
2014-11-14,25.4694,25.4694,0.0
2014-11-17,25.74,25.74,0.0
2014-11-18,26.0028,26.0028,0.0
2014-11-19,26.0641,26.0641,0.0
2014-11-20,25.8923,26.0641,-0.0065914418683169496
2014-11-21,25.9891,26.0641,-0.002877521188147658
2014-11-24,25.896,26.0641,-0.006449484156368257
2014-11-25,25.3911,26.0641,-0.025820956794978422
2014-11-26,25.6618,26.0641,-0.015435023653224134
2014-11-27,26.0216,26.0641,-0.001630595339950358
2014-11-28,26.2402,26.2402,0.0
2014-12-01,26.2093,26.2402,-0.0011775824879384222
2014-12-02,26.5928,26.5928,0.0
2014-12-03,27.0697,27.0697,0.0
2014-12-04,27.342,27.342,0.0
2014-12-05,27.3359,27.342,-0.00022309999268521619
2014-12-08,27.5153,27.5153,0.0
2014-12-09,27.0266,27.5153,-0.01776102750106312
2014-12-10,27.2901,27.5153,-0.008184537330140018
2014-12-11,27.739,27.739,0.0
2014-12-12,27.4434,27.739,-0.010656476441111784
2014-12-15,27.3527,27.739,-0.013926241032481412
2014-12-16,26.791,27.739,-0.03417570929016911
2014-12-17,26.2936,27.739,-0.052107141569631144
2014-12-18,27.0853,27.739,-0.02356609827318934
2014-12-19,27.1556,27.739,-0.021031760337431038
2014-12-22,27.439,27.739,-0.010815097876635815
2014-12-23,27.4262,27.739,-0.011276542052705563
2014-12-24,27.4695,27.739,-0.009715562925844523
2014-12-26,27.5386,27.739,-0.007224485381592816
2014-12-29,28.1163,28.1163,0.0
2014-12-30,28.5876,28.5876,0.0
2014-12-31,29.2084,29.2084,0.0
2015-01-01,29.3671,29.3671,0.0
2015-01-02,29.4253,29.4253,0.0
2015-01-05,29.3031,29.4253,-0.004152888840555535
2015-01-06,28.566,29.4253,-0.02920276088943874
2015-01-07,28.7345,29.4253,-0.02347639616248598
2015-01-08,29.2325,29.4253,-0.006552184684608053
2015-01-09,29.2834,29.4253,-0.004822380740383214
2015-01-12,29.4713,29.4713,0.0
2015-01-13,29.4388,29.4713,-0.0011027677774647637
2015-01-14,29.5028,29.5028,0.0
2015-01-15,29.6991,29.6991,0.0
2015-01-16,29.7293,29.7293,0.0
2015-01-19,30.5172,30.5172,0.0
2015-01-20,30.8184,30.8184,0.0
2015-01-21,30.714,30.8184,-0.003387586636554807
2015-01-22,30.7123,30.8184,-0.0034427484879163694
2015-01-23,30.4927,30.8184,-0.010568361757910871
2015-01-27,30.5724,30.8184,-0.007982244373491265
2015-01-28,30.7898,30.8184,-0.0009280170287879752
2015-01-29,30.7497,30.8184,-0.0022291877579627695
2015-01-30,30.5936,30.8184,-0.007294343638865164
2015-02-02,30.6145,30.8184,-0.0066161773485969855
2015-02-03,30.7745,30.8184,-0.0014244736910417055
2015-02-04,30.6731,30.8184,-0.004714715884017284
2015-02-05,30.2614,30.8184,-0.018073618357864252
2015-02-06,29.7377,30.8184,-0.03506671339199963
2015-02-09,29.397,30.8184,-0.046121797367806305
2015-02-10,29.5782,30.8184,-0.040242192975625035
2015-02-11,29.9083,30.8184,-0.029531059367131296
2015-02-12,30.2611,30.8184,-0.018083352802222064
2015-02-13,30.2844,30.8184,-0.017327310957090503
2015-02-16,30.5344,30.8184,-0.009215273992160489
2015-02-18,30.6868,30.8184,-0.004270176258339142
2015-02-19,30.6178,30.8184,-0.006509098460659946
2015-02-20,30.6869,30.8184,-0.004266931443553168
2015-02-23,30.3222,30.8184,-0.016100770967993228
2015-02-24,30.2175,30.8184,-0.019498092048905846
2015-02-25,30.1089,30.8184,-0.023021960906471572
2015-02-26,29.9507,30.8184,-0.028155257897879205
2015-02-27,30.2262,30.8184,-0.019215793162526307
2015-03-02,30.5216,30.8184,-0.009630610284764973
2015-03-03,30.8045,30.8184,-0.0004510292552500905
2015-03-04,30.6349,30.8184,-0.005954235132258678
2015-03-05,30.6428,30.8184,-0.005697894764166822
2015-03-09,30.4317,30.8184,-0.012547698777353844
2015-03-10,30.3725,30.8184,-0.01446862913064928
2015-03-11,30.4375,30.8184,-0.012359499519767447
2015-03-12,30.686,30.8184,-0.0042961347766269364
2015-03-13,30.2599,30.8184,-0.018122290579653755
2015-03-16,30.179,30.8184,-0.020747345741505163
2015-03-17,30.0579,30.8184,-0.02467681644731723
2015-03-18,30.0143,30.8184,-0.026091555694001012
2015-03-19,29.8192,30.8184,-0.032422189341432484
2015-03-20,29.392,30.8184,-0.04628403810710491
2015-03-23,28.911,30.8184,-0.06189159722763027
2015-03-24,28.8295,30.8184,-0.06453612127819752
2015-03-25,28.8366,30.8184,-0.06430573942839346
2015-03-26,28.4267,30.8184,-0.07760623523609278
2015-03-27,28.5473,30.8184,-0.07369298860421047
2015-03-30,29.2627,30.8184,-0.05047958362536675
2015-03-31,29.3347,30.8184,-0.04814331697946672
2015-04-01,29.7949,30.8184,-0.033210679334423676
